NIM,WMCNAMM,NOAP+NOAM,NOAM,WOC,AMW,NOPVA,RFC,CFNAMM,IntelligentMethods,AccessorsRatio,PublicAttributes,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Smell
20,8,10,0,91,8,0,33,15,1,100,10,8,8,8,1,81,12,65,4,1,2,0,0,10,1,1,1,1,0,0,0,1,135,24,78,23,68,33,51,62,24,38,8,8,8,1,2,0,54.55,0.42,8,8,8,1,TRUE
0,3,17,0,176,1,0,11,5,3,66,17,1,1,1,1,15.33,1,12.67,1.67,1,0,0,0,0,3,17,3,3,0,0,0,3,102,22,57,24,48,23,48,52,24,28,1,1,1,1,1,0,66.67,0.4,3,3,3,3,TRUE
0,6,26,26,118,1.1,17,35,1,2,100,0,1.1,1.1,1.1,1,3.48,0,3.48,0,1,5,1,0,0,29,17,29,29,0,0,0,29,218,47,162,64,64,13,78,119,62,57,3,3,3,1,1,0,91.68,0.08,32,32,32,29,TRUE
0,1,8,8,0,1,9,18,0,0,100,0,1,1,1,1,3.89,0,3.89,0,1,10,0,0,0,9,9,9,9,0,0,0,9,47,1,46,19,17,0,26,36,19,17,1,1,1,1,1,0,79.01,0,9,9,9,9,FALSE
20,3,4,0,125,3,3,34,26,1,100,4,3,3,3,1,76,16,57,7,1,3,0,0,0,1,8,1,1,0,0,0,1,117,25,67,21,54,29,52,56,22,34,3,3,3,1,2,0,50,0.43,3,3,3,1,TRUE
0,2,8,4,0,1,0,8,0,0,100,4,1,1,1,1,5.17,0,4.17,1.17,1,0,0,0,0,6,4,6,6,0,0,0,6,53,9,31,12,16,14,16,23,11,12,1,1,1,1,1,0,50,0.45,6,6,6,6,TRUE
0,2,7,6,0,1,3,9,0,0,100,1,1,1,1,1,3.88,0,3.88,0,1,0,0,0,0,8,8,8,8,0,0,0,8,49,11,37,14,16,1,18,27,13,14,1,1,1,1,1,0,73.44,0.03,8,8,8,8,TRUE
0,25,4,4,1.75,2.64,4,37,24,7,50,0,2.64,2.64,2.64,1.55,11.27,0.36,10.36,1.27,1,7,0,0,0,11,4,11,11,0,5,0,6,170,23,138,43,83,20,79,113,48,65,12,12,12,7,1,3,77.27,0.14,29,29,29,17,TRUE
0,4,7,1,0,1,3,24,0,0,75,6,1,1,1,1,9.6,0,8.4,1.2,2,13,0,0,0,5,9,5,5,0,0,0,5,81,14,58,19,34,9,27,35,18,17,1,1,1,1,1,0,77.78,0.16,5,5,5,5,TRUE
0,8,4,4,286,1.5,7,21,2,2,71.4,0,1.5,1.5,1.5,1,10.25,0.12,10.12,0,1,7,0,0,0,8,7,8,8,2,0,6,0,124,14,103,42,64,7,50,64,36,28,3,3,3,1,1,2,73.21,0.07,12,12,12,8,FALSE
0,3,8,4,0,1,2,9,0,0,100,4,1,1,1,1,4.29,0,4.29,0,1,1,0,0,4,7,4,7,7,1,0,0,6,55,15,40,16,20,0,24,32,16,16,1,1,1,1,1,0,69.64,0,7,7,7,7,TRUE
0,12,7,6,0.2,1.64,9,23,7,2,70,1,1.64,1.64,1.82,1.36,8.64,0.18,7.73,0.91,1,7,2,0,1,11,9,11,11,3,0,8,0,122,12,96,37,55,16,54,72,34,38,6,6,8,5,1,3,81.82,0.17,18,18,20,15,TRUE
0,4,6,6,0,1,4,16,1,0,88.8,0,1,1,1,1,3.1,0,3.1,0,1,3,8,0,0,10,4,10,10,1,0,4,5,55,14,37,15,12,4,15,26,15,11,1,1,1,1,1,0,77.5,0.11,10,10,10,10,TRUE
3,3,3,3,0,1.2,3,6,0,0,100,0,1.2,1.2,1.2,1,4.8,0,4.2,0.6,1,2,0,0,0,5,3,5,5,0,0,0,5,37,8,26,9,11,3,14,20,9,11,2,2,2,1,2,0,40,0.12,6,6,6,5,FALSE
0,1,3,3,0,1,3,5,0,0,100,0,1,1,1,1,3.75,0,3.75,0,1,2,1,0,0,4,3,4,4,0,0,1,3,29,6,20,9,6,3,9,14,8,6,1,1,1,1,1,0,50,0.15,4,4,4,4,TRUE
