AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Smell
1,1,1,1,4,0,4,0,1,0,0,0,0,1,0,1,4,0,0,0,1,18,1,6,3,1,11,1,3,2,1,1,1,1,1,3,0,0,1.83,1,1,1,1,FALSE
1,1,1,1,5.33,0,1.33,4,1,0,1,0,0,3,0,3,3,0,0,0,3,29,3,6,4,0,20,2,4,4,0,1,1,1,1,1,0,0,3.33,3,3,3,3,TRUE
1,1,1,1,5.5,0,1,4.5,1,0,1,0,0,2,0,2,2,0,0,0,2,18,1,4,3,0,13,2,3,3,0,1,1,1,1,1,0,0,3.25,2,2,2,2,TRUE
1.32,1.32,1.36,1,8.23,0,3.68,4.55,2,1,1,0,0,22,5,22,22,0,0,2,20,245,28,88,30,42,129,40,67,31,36,3,3,3,1,1,2,79.09,1.47,29,29,30,22,TRUE
1.21,1.21,1.21,1,08.07,0,3.86,4.21,1,7,5,0,0,14,2,14,14,0,0,3,11,150,16,59,22,25,75,21,39,20,19,4,4,4,1,1,3,82.14,1.27,17,17,17,14,FALSE
2.27,2,2.27,1,12,0.36,10.36,1.27,2,11,0,0,6,11,2,11,25,0,2,0,9,178,23,128,31,85,29,50,76,29,47,5,5,5,1,2,3,84.09,0.23,25,22,25,11,FALSE
2.33,2.33,2.33,2.33,10.33,0.33,8.67,1.33,1,5,0,0,1,3,0,3,81,0,0,0,3,51,6,31,9,17,15,13,21,7,14,5,5,5,5,4,2,100,0.48,7,7,7,7,TRUE
2.5,2.5,2.5,1,12,0,9.5,2.5,1,2,1,0,0,2,0,2,20,0,0,0,2,29,2,22,6,12,5,6,13,6,7,3,3,3,1,2,2,0,0.23,5,5,5,2,TRUE
4.6,4.6,5,1,29,0.2,22.8,6.8,1,0,0,2,2,3,1,5,5,0,0,0,5,170,8,121,35,88,45,60,83,32,51,11,11,12,1,1,6,53.33,0.37,23,23,25,5,FALSE
4.5,4.5,4.5,1,20,0,17.5,2.5,1,2,1,0,0,2,0,2,20,0,0,0,2,45,2,38,8,24,5,10,21,8,13,7,7,7,1,2,3,0,0.13,9,9,9,2,TRUE
2.5,2.5,3,1,13,0,10.5,2.5,1,2,1,0,0,2,0,2,20,0,0,0,2,32,3,24,5,13,5,7,13,4,9,3,3,3,1,2,1,0,0.21,5,5,6,2,FALSE
2.33,2.33,2.75,1.28,13.56,0.42,9.19,04.08,2,22,1,0,3,36,6,36,36,0,7,8,21,611,67,343,98,216,206,152,233,94,139,8,8,10,3,1,4,92.9,0.6,84,84,99,46,FALSE
1.75,1.75,1.75,1.75,9.75,0,6,3.75,1,1,0,0,0,4,0,4,17,0,0,1,3,49,5,26,9,15,18,12,18,9,9,4,4,4,4,4,3,0,0.69,7,7,7,7,TRUE
1.5,1.5,1.5,1.5,9.25,0,5.5,3.75,1,1,0,0,0,4,0,4,17,0,0,1,3,47,4,25,11,14,18,13,18,10,8,3,3,3,3,4,2,0,0.72,6,6,6,6,FALSE
1.4,1.4,1.4,1,7.2,0,5,2.2,2,2,1,0,0,5,0,5,15,0,0,1,4,259,33,114,33,56,112,49,78,31,47,3,3,3,1,3,2,0,0.98,7,7,7,5,TRUE
