branches,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxNesting,RatioCommentToCode,Smells
50,52,181,0,179,1,174,2,3,55,120,127,2,125,55,7,55,1,3,0.01,TRUE
43,14,95,8,74,7,66,17,27,26,45,52,7,45,46,7,50,21,3,0.23,TRUE
35,24,384,55,269,26,188,60,21,626400,96,125,22,103,54,30,58,23,4,0.22,TRUE
32,14,95,8,74,7,66,17,27,26,45,52,7,45,46,7,50,21,3,0.23,TRUE
27,31,261,21,211,21,144,34,36,57,77,109,20,89,45,32,55,26,5,0.16,TRUE
24,102,573,2,464,14,379,151,10,4830266,243,341,11,330,122,100,141,106,5,0.33,FALSE
21,3,9,0,6,1,4,3,3,2,3,5,1,4,2,2,2,1,1,0.5,TRUE
17,4,27,0,27,2,24,4,3,10,11,14,2,12,19,3,19,1,1,0.15,FALSE
13,18,162,5,149,17,117,17,25,33420,75,106,16,90,42,31,57,6,5,0.11,TRUE
10,6,41,2,39,6,28,0,5,32,16,25,6,19,18,9,18,5,3,0,TRUE
9,10,64,10,41,5,29,13,6,11,19,24,4,20,12,5,12,1,2,0.32,TRUE
8,17,92,16,63,9,48,13,9,23,28,38,6,32,18,11,19,10,4,0.21,TRUE
7,8,90,8,69,14,53,14,22,28,38,45,15,30,12,7,14,1,4,0.2,TRUE
6,10,29,1,28,2,24,0,2,8,15,18,2,16,8,3,8,1,2,0,TRUE
5,23,53,0,52,2,37,2,1,25,26,34,3,31,11,8,11,1,5,0.04,FALSE
